## Site Characteristics
Country     = 'USA'
Station     = 'NASA'
Description = 'NASA'
Source      = 'NASA'
Contact     = 'Peter Uithol'
Longitude = 37.5; Latitude = 41.5; Elevation = 0.14; AngstromA = 0.16667081466733033; AngstromB = 0.5895739031363328; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
19830701,28730.0,21.89,22.57,2.2767600102281214,2.15,0.2,NaN
19830702,26640.0,21.65,22.51,2.4400410813451106,2.96,1.88,NaN
19830703,23180.0,21.27,22.23,2.298058152964192,4.85,0.16,NaN
19830704,26320.0,21.14,22.2,2.259846001909132,2.51,0.0,NaN
19830705,14470.0,21.54,22.54,2.338281270927446,5.12,1.39,NaN
19830706,17750.0,22.19,22.96,2.4220705638833273,6.06,5.1,NaN
19830707,27360.0,22.49,22.89,2.10985086981363,3.77,0.4099999999999999,NaN
19830708,30240.0,22.59,23.45,1.7163564077019398,2.09,0.0,NaN
19830709,31360.0,21.79,23.11,1.8136462757016276,2.35,0.02,NaN
19830710,27830.0,21.72,22.31,1.9011953088739362,1.43,0.04,NaN
19830711,28980.0,22.19,22.89,2.094027400287543,1.82,0.0,NaN
19830712,27830.0,22.44,24.18,2.4763320619613167,3.11,0.0,NaN
19830713,22970.0,22.35,23.9,2.470251005350697,4.09,0.01,NaN
19830714,28480.0,22.93,23.62,2.3498860720642907,1.71,0.0,NaN
19830715,26710.0,23.26,23.74,2.3353879129103534,1.48,0.0,NaN
19830716,28760.0,23.59,24.1,2.3498860720642907,2.36,0.0,NaN
19830717,25600.0,23.41,24.15,2.5007873188020806,2.66,0.0,NaN
19830718,16309.999999999998,23.93,25.19,2.584889041588965,3.68,0.03,NaN
19830719,26060.0,24.53,25.38,2.763883195065474,6.67,0.06,NaN
19830720,26210.0,23.92,25.22,2.6039103458651134,4.92,0.36,NaN
19830721,27680.0,23.85,24.36,2.21527817021355,2.74,0.55,NaN
19830722,5800.0,21.81,24.15,2.1244475498095214,3.77,5.81,NaN
19830723,22360.0,20.88,22.6,1.6373953800630872,3.35,0.03,NaN
19830724,26640.0,21.31,23.06,1.7678100049635117,1.83,0.0,NaN
19830725,29630.0,22.34,23.63,1.9108782257871115,2.74,0.0,NaN
19830726,8750.0,21.57,24.34,2.05233821240673,6.17,3.14,NaN
19830727,21600.0,21.0,22.08,1.902403318003111,6.42,7.15,NaN
19830728,10980.0,19.27,20.84,1.848703745817846,5.21,4.77,NaN
19830729,20120.0,20.4,20.95,1.8581521037371374,3.13,2.08,NaN
19830730,26570.0,21.03,21.88,1.997463445625654,2.91,0.02,NaN
19830731,25380.0,21.77,22.01,2.1244475498095214,2.33,0.0,NaN
19830801,23360.0,20.34,21.79,2.1647068195354815,2.19,0.03,NaN
19830802,19080.0,20.68,21.38,2.088776043828488,2.76,0.02,NaN
19830803,24770.0,19.91,21.07,2.056215461895879,2.0,0.0,NaN
19830804,23440.0,20.05,22.01,2.1525595273902174,3.22,0.01,NaN
19830805,26210.0,21.39,22.03,2.316657279894076,2.3,0.0,NaN
19830806,26140.0,21.51,23.02,2.2626573471641764,1.26,0.0,NaN
19830807,24700.0,22.01,22.99,2.1823587954442267,1.85,0.0,NaN
19830808,24190.0,22.63,23.16,2.2767600102281214,3.08,0.02,NaN
19830809,21350.0,21.89,23.17,2.156601980075662,2.93,0.43999999999999995,NaN
19830810,24260.0,21.51,21.95,2.006308015597214,3.05,0.62,NaN
19830811,25740.0,22.15,23.33,1.9698881005108695,2.58,0.0,NaN
19830812,25700.0,23.08,23.99,2.1404719267812085,3.14,0.0,NaN
19830813,23760.0,23.2,24.28,2.3747136108806846,3.73,0.0,NaN
19830814,22860.0,23.85,24.28,2.5896329510583724,3.72,0.13,NaN
19830815,16309.999999999998,22.19,24.42,2.390900425939826,7.17,1.29,NaN
19830816,11590.0,21.62,22.63,1.7553844361500226,4.76,0.12,NaN
19830817,25420.0,20.52,22.6,1.5820818681220963,2.2,0.0,NaN
19830818,25340.0,20.57,21.72,1.7520089610887797,1.85,0.0,NaN
19830819,25380.0,21.9,22.51,1.8182866804855506,1.84,0.0,NaN
19830820,22360.0,21.8,22.33,1.9512784154442813,2.57,0.02,NaN
19830821,20660.0,21.53,22.05,2.0835362182085597,3.1,0.42999999999999994,NaN
19830822,16379.999999999998,22.11,23.68,2.1809964939023323,3.48,1.1,NaN
19830823,22750.0,22.59,23.59,2.0613951019986394,6.15,0.31,NaN
19830824,24550.0,22.52,22.96,2.0151868587932515,6.22,0.41999999999999993,NaN
19830825,24590.0,22.17,22.72,1.8807617177491782,6.35,0.07,NaN
19830826,21820.0,22.18,22.4,1.757637918894643,2.85,0.08,NaN
19830827,22970.0,21.17,22.29,1.700959533283389,1.63,0.09,NaN
19830828,4250.0,20.27,21.24,1.8807617177491782,5.09,3.49,NaN
