## Site Characteristics
Country     = 'USA'
Station     = 'NASA'
Description = 'NASA'
Source      = 'NASA'
Contact     = 'Peter Uithol'
Longitude = 5.5; Latitude = 52.0; Elevation = 15.29; AngstromA = 0.16269515201314708; AngstromB = 0.52555125138761; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
19840101,700.0,6.77,8.97,0.9435589697357575,8.14,1.206,NaN
19840102,2089.9999999999995,3.61,8.23,0.8650309434078973,6.1,1.103,NaN
19840103,2720.0,2.24,8.13,0.6906343876068135,7.93,0.853,NaN
19840104,1350.0,0.52,5.68,0.6802978970425884,4.99,0.476,NaN
19840105,780.0,-0.71,3.69,0.633386993995039,4.15,0.327,NaN
19840106,1360.0,0.92,6.44,0.745485763387818,2.86,0.031,NaN
19840107,2490.0,2.38,6.44,0.7021142659714914,5.7,0.807,NaN
19840108,1910.0,2.29,4.5,0.683237140626266,5.09,0.263,NaN
19840109,1700.0,-1.85,4.65,0.633386993995039,2.02,0.028000000000000004,NaN
19840110,1110.0,-1.87,3.05,0.619297737794915,3.67,0.10600000000000001,NaN
19840111,600.0,3.3,5.55,0.7984980831099481,7.05,0.5509999999999999,NaN
19840112,3190.0,0.73,5.1,0.709691638865384,4.6,0.12,NaN
19840113,990.0,0.65,10.69,0.6896440181524477,9.01,1.0619999999999998,NaN
19840114,2210.0,1.12,10.4,0.6398422234353479,8.04,1.093,NaN
19840115,1780.0,0.81,2.97,0.5685858281339906,6.09,0.146,NaN
19840116,1940.0,1.8,8.51,0.6941105817331951,7.17,1.401,NaN
19840117,1240.0,1.72,7.87,0.6288114284736147,7.84,0.027000000000000003,NaN
19840118,2900.0,-1.43,4.29,0.6161549094635332,4.62,0.23700000000000002,NaN
19840119,3740.0,-1.85,3.0,0.6125803795600909,1.49,0.073,NaN
19840120,4230.0,-3.24,3.8,0.5623576269500697,1.76,0.008,NaN
19840121,1680.0,-3.76,0.51,0.4848950979144516,3.18,0.0,NaN
19840122,1890.0,-4.38,-2.06,0.4315228719489007,4.62,0.472,NaN
19840123,1680.0,-5.5,0.93,0.5048174868699409,4.09,1.192,NaN
19840124,2960.0,-0.25,0.77,0.6019665508469253,4.59,0.24,NaN
19840125,3190.0,-3.27,1.4,0.5301489835354337,2.46,0.024,NaN
19840126,900.0,-3.73,0.62,0.5208102792809635,4.74,0.16699999999999998,NaN
19840127,2480.0,-1.16,3.51,0.629724196902078,3.8,0.027000000000000003,NaN
19840128,3320.0,-0.17,3.8,0.6866804329213612,3.69,0.339,NaN
19840129,1650.0,-0.31,2.9,0.6676898573792776,3.54,0.362,NaN
19840130,4280.0,1.12,4.9,0.7046320784155418,3.66,0.132,NaN
19840131,4970.0,-1.59,6.19,0.6788324687354117,3.72,0.231,NaN
19840201,3080.0,-1.71,4.9,0.6472907742750561,2.95,0.211,NaN
19840202,2510.0,2.87,6.2,0.8121169911561521,4.79,0.508,NaN
19840203,2000.0,3.18,7.1,0.7778969522694303,5.8,0.6639999999999999,NaN
19840204,3560.0,2.94,8.73,0.8253603240799855,4.84,0.194,NaN
19840205,5450.0,1.4,8.98,0.7380969644795426,5.52,0.571,NaN
19840206,3410.0,3.09,8.06,0.8814869161638965,7.19,2.278,NaN
19840207,4530.0,2.52,5.54,0.6624181450203485,6.84,0.337,NaN
19840208,3930.0,0.88,4.14,0.6667286160270809,5.99,0.9259999999999999,NaN
19840209,7320.0,0.34,5.99,0.6605102976618098,4.31,0.05500000000000001,NaN
19840210,4010.0,-1.45,5.78,0.7502701168789084,2.49,0.048,NaN
19840211,4800.0,2.62,7.74,0.8115454715097726,2.67,0.079,NaN
19840212,7840.0,-3.78,4.57,0.5278005186846187,3.09,0.002,NaN
19840213,7640.0,-3.84,4.44,0.4929259577396149,2.55,0.0,NaN
19840214,8130.000000000001,-3.6,3.69,0.5329005454731055,1.7,0.001,NaN
19840215,5130.0,-3.85,2.24,0.5010743883089547,1.67,0.009,NaN
19840216,7970.0,-4.04,3.01,0.46357863299443924,1.31,0.0,NaN
19840217,4900.0,-3.37,3.4,0.4670726498894707,1.15,0.0,NaN
19840218,8580.0,-5.91,3.29,0.4259986461919437,2.76,0.0,NaN
19840219,8980.0,-7.89,2.01,0.3990020863234143,4.23,0.0,NaN
19840220,8710.0,-6.67,2.54,0.4498330204144844,2.91,0.003,NaN
19840221,5600.0,-1.5,4.08,0.6538710128204547,4.0,0.426,NaN
19840222,3460.0,-0.78,4.9,0.6486958773549342,1.71,0.052000000000000005,NaN
19840223,5460.0,-1.21,3.69,0.5980284914881802,2.87,0.017,NaN
19840224,7610.0,-2.42,2.47,0.5227437432985378,3.61,0.022,NaN
19840225,3550.0,-2.06,1.69,0.5211964648422638,4.85,0.028999999999999998,NaN
19840226,2720.0,-0.93,3.76,0.6054862811948387,3.08,0.078,NaN
19840227,3020.0,-0.42,3.55,0.6224547304555662,3.2,0.06899999999999999,NaN
19840228,3660.0,-2.23,4.6,0.5902206594529414,2.45,0.018,NaN
19840229,4730.0,-2.24,5.51,0.5492721499315728,0.74,0.001,NaN
19840301,3560.0,-3.12,4.62,0.635685793713122,2.15,0.059,NaN
19840302,3530.0,0.72,4.55,0.6876670421753711,5.35,0.961,NaN
19840303,3930.0,-1.1,4.97,0.6347653903635195,3.8,0.22400000000000003,NaN
19840304,9370.0,-1.49,6.26,0.584637876198776,1.38,0.008,NaN
19840305,5100.0,0.73,9.32,0.7756981514188748,1.46,0.038,NaN
19840306,5700.0,3.91,9.08,0.8802585591210154,1.98,0.036,NaN
19840307,10050.0,-0.1,8.46,0.7354738210710603,3.13,0.027000000000000003,NaN
19840308,11800.0,-1.13,7.17,0.5863506598302033,3.61,0.002,NaN
19840309,11240.0,-3.0,4.52,0.4784108188073768,2.09,0.006,NaN
19840310,4520.0,-1.48,2.34,0.6063690521346352,2.8,0.805,NaN
19840311,4940.0,1.42,4.19,0.7193932697416815,2.35,0.144,NaN
19840312,11980.0,-0.96,7.89,0.633386993995039,2.82,0.005,NaN
19840313,7630.0,-2.63,5.9,0.5850656567138259,3.23,0.009,NaN
19840314,13100.0,-3.01,8.59,0.6059275245109571,2.63,0.0,NaN
19840315,11480.0,-2.08,9.01,0.6143653459932471,3.5,0.003,NaN
19840316,8800.0,-1.24,7.27,0.6112446654258243,4.06,0.003,NaN
19840317,10520.0,-1.37,7.75,0.6054862811948387,4.09,0.005,NaN
19840318,12180.0,-2.68,7.42,0.5698387654507274,3.95,0.0,NaN
19840319,14190.0,-3.7,8.94,0.5496769564208601,2.99,0.0,NaN
19840320,14610.0,-3.63,8.26,0.5036919662524006,2.36,0.001,NaN
19840321,14580.0,-3.95,10.26,0.5545552667726522,2.14,0.0,NaN
19840322,13720.0,-3.3,10.75,0.5690032028374344,1.51,0.0,NaN
19840323,14040.0,-2.74,11.83,0.6338461651799894,1.58,0.0,NaN
19840324,4150.000000000001,1.84,8.12,0.7604595270562907,4.77,0.306,NaN
19840325,11570.0,2.58,10.43,0.7861915260525465,3.95,0.303,NaN
19840326,5430.0,4.23,10.02,0.8644267007582993,4.62,0.335,NaN
19840327,10840.0,3.27,9.98,0.8346850827828123,4.36,0.873,NaN
19840328,9260.0,4.74,10.34,0.9325229873839784,4.18,0.521,NaN
19840329,7400.0,0.58,8.11,0.7962479658197602,3.05,0.588,NaN
